GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
7950000US0606103,0606103,"Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA, California",43977,1824,101336,6494,71.5,3.2,103643,8616,30.9,3.0,34476,10480,37.0,3.2,20133,1320,3.9,1.1,7864,2003,3.0,1.1,5371,3146,23.3,2.7,32570,3190,30882,1592,117822,8693,21.7,3.3,75241,15621,36.9,4.0,109222,13770,26.3,3.7,162081,26555,6.7,2.2,76039,15501,7.1,2.6,165242,44160,1.2,0.6,135586,31881,121900,3458,38237,2605,89.7,1.8,39151,2899,1.2,0.9,16830,6937,0.8,0.6,15962,14596,4.0,1.2,49142,15420,0.0,0.1,N,N,0.9,0.5,16750,6632,3.4,1.1,19844,7593,13.2,2.6,17493,3534,78.1,2.9,42280,3213,34.6,(X),(X),(X),33.0,(X),(X),(X),28.4,(X),(X),(X)
7950000US0606501,0606501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California",55122,2616,59223,4667,80.6,2.2,53235,3906,10.1,1.5,59733,26561,27.6,2.4,17686,1239,4.2,1.1,6584,1077,4.0,1.3,3764,1040,12.5,1.7,30879,4518,40288,1590,64758,5383,16.0,2.1,76815,24081,34.1,3.6,47473,8211,25.3,3.3,76715,8992,11.6,2.7,58213,8269,7.6,1.7,90136,18523,5.3,1.6,60096,10451,187410,6112,18575,1386,43.9,3.2,25261,2464,2.6,0.9,18177,7691,0.8,0.5,14566,9342,1.5,0.9,20090,9158,0.0,0.1,N,N,48.5,3.4,12878,1278,2.7,1.2,12952,5022,77.9,2.3,13404,1010,17.2,1.9,42494,5600,36.5,(X),(X),(X),32.6,(X),(X),(X),24.6,(X),(X),(X)
7950000US0606502,0606502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",55625,2067,70965,4422,63.9,2.3,64219,3968,27.2,2.2,45178,10777,45.5,2.4,19499,800,4.1,0.9,10024,1668,1.4,0.5,3448,719,21.2,2.1,31436,3928,29543,1485,84675,7465,26.1,2.8,74654,9397,33.9,3.5,82564,17747,21.3,3.1,105697,10772,10.1,2.8,69501,11713,5.2,1.6,98012,22138,3.3,1.5,75775,14964,129511,3513,31657,1823,82.5,2.5,32876,1831,2.1,0.7,25328,6357,0.6,0.3,N,N,4.6,1.3,38851,11130,0.1,0.1,N,N,6.7,1.7,16748,3475,3.5,1.1,19350,8983,38.4,3.1,15208,1503,51.6,3.1,43515,2736,31.1,(X),(X),(X),32.3,(X),(X),(X),25.0,(X),(X),(X)
7950000US0606503,0606503,"Riverside County (Southwest)--Temecula City PUMA, California",41955,1722,101213,5558,84.8,2.5,97179,6334,22.3,2.8,17662,4200,26.0,2.8,18955,1375,5.3,1.8,9392,1541,1.2,0.7,1459,398,20.3,3.1,32018,4478,34748,1650,107482,6142,12.2,2.4,56489,9109,32.5,4.1,95316,11911,32.4,3.2,128373,10413,9.5,2.2,89735,15019,10.5,2.7,150969,18784,2.9,1.3,126021,44609,135790,4178,32421,2123,78.0,3.1,32571,2425,4.5,1.8,37735,6791,0.3,0.2,N,N,10.0,2.2,37273,9034,0.3,0.3,36950,14246,2.9,1.0,29802,8282,3.9,1.2,11633,5773,21.9,3.5,22234,2551,61.6,3.9,35341,2866,24.9,(X),(X),(X),26.8,(X),(X),(X),21.2,(X),(X),(X)
7950000US0606504,0606504,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",39653,2202,91013,8579,81.5,3.2,92890,10947,19.3,3.3,18980,6990,24.9,3.4,18344,1879,6.3,1.9,9764,1908,4.0,1.6,3599,1303,17.6,2.7,21107,2692,30409,1656,98421,11591,13.0,2.6,48253,10374,31.0,4.6,72705,7741,28.4,4.2,108224,9539,13.7,2.9,150967,74600,9.2,2.6,142081,17840,4.6,2.4,109283,30205,133797,4438,28762,2816,69.7,4.4,31474,3929,9.5,2.7,24495,4971,0.9,0.7,22524,19943,4.7,1.5,31026,4938,0.5,0.4,N,N,8.0,3.6,18247,4186,6.7,1.7,16408,4743,30.0,4.9,18494,2387,51.5,5.0,35834,5469,31.9,(X),(X),(X),31.8,(X),(X),(X),26.0,(X),(X),(X)
7950000US0606505,0606505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",56790,2243,71892,3406,76.2,2.4,73612,3815,14.6,2.5,13321,4318,33.4,2.8,18585,1193,5.7,1.5,10103,1373,4.6,1.4,4168,1104,21.5,2.8,23768,4602,43851,1886,77787,3848,16.4,2.3,39208,5272,31.4,3.5,65699,7309,25.7,3.0,96473,6445,11.5,2.5,72707,10529,10.5,2.1,131741,15365,4.6,1.6,83031,14389,197963,6801,22088,1095,62.1,3.6,24799,1484,5.7,1.7,25614,4452,0.5,0.4,19381,7566,4.5,1.4,24591,4190,0.2,0.2,N,N,21.8,3.4,14075,1596,5.2,1.4,18290,7891,42.9,3.4,14556,1040,43.1,2.8,28995,1822,35.8,(X),(X),(X),37.1,(X),(X),(X),26.6,(X),(X),(X)
7950000US0606506,0606506,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",53898,2701,54859,3905,63.6,3.1,57165,5172,15.0,2.3,11328,2245,41.9,3.6,17756,842,7.9,1.8,10259,1894,7.2,2.1,5810,900,23.0,2.7,28103,8668,36895,1793,61074,4530,26.1,3.1,36979,5107,35.6,3.9,51445,8350,19.7,3.1,93622,11168,11.7,2.9,56834,7497,5.4,1.8,116572,18091,1.5,1.2,113822,72938,162538,7462,19236,1414,73.6,4.0,20225,1690,8.7,2.8,15234,4006,1.8,1.2,15687,6702,3.2,1.9,21190,4802,0.1,0.2,N,N,8.9,2.8,15822,4959,3.7,1.1,16717,6342,37.8,4.1,13285,1751,47.4,3.7,24671,2054,39.8,(X),(X),(X),41.2,(X),(X),(X),31.5,(X),(X),(X)
7950000US0606507,0606507,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",50181,2268,63485,3427,67.2,3.5,66500,3361,16.6,1.9,20104,10056,38.6,3.0,17354,1041,6.6,1.5,8844,1235,5.2,1.7,3844,1203,23.7,2.6,25690,2981,36241,1810,71702,4142,24.9,3.4,48639,8684,31.4,3.7,58692,5578,24.5,3.1,98464,8845,9.9,2.6,69478,9848,6.0,1.8,124453,21214,3.4,1.4,80957,16568,162948,6387,20968,1416,69.9,2.9,22669,1757,5.5,1.9,20862,6049,1.3,0.8,17810,13515,6.8,2.3,21017,4374,0.0,0.1,N,N,11.6,2.7,14128,2436,4.9,1.3,13716,4030,42.9,4.0,14162,1484,42.0,3.3,27814,2315,39.9,(X),(X),(X),39.8,(X),(X),(X),31.2,(X),(X),(X)
7950000US0606508,0606508,"Riverside County (Northwest)--Moreno Valley City PUMA, California",47190,2172,66461,3841,87.1,2.4,64394,4077,7.0,1.6,8126,2210,22.9,2.4,15277,994,9.3,2.0,10505,1069,7.2,1.8,3121,640,14.6,1.7,22302,3217,39484,1509,69957,3938,8.6,2.0,34829,6593,39.9,3.2,52207,5896,18.3,2.8,92298,6869,16.4,3.0,69752,7907,10.5,2.5,115722,17385,6.3,2.0,89939,11400,190636,2494,17909,1151,40.1,3.8,19774,1380,17.2,2.3,17843,2482,0.8,0.5,10254,5101,8.2,2.0,23091,5224,0.6,0.5,N,N,29.6,3.7,14060,1599,3.5,1.1,19805,8995,55.6,3.2,14751,1148,16.2,2.4,26742,2766,44.7,(X),(X),(X),45.9,(X),(X),(X),33.3,(X),(X),(X)
7950000US0606509,0606509,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",31109,1989,62908,4844,83.3,3.2,61484,5320,10.7,2.4,8836,5259,25.9,4.0,17858,1766,5.8,2.1,9683,1499,5.1,1.9,4091,1162,14.1,2.8,27235,6255,25567,1708,64313,5359,13.4,3.2,36294,6831,40.8,5.0,51537,6890,15.6,3.3,85480,14189,12.6,3.6,59583,8623,11.5,3.1,101688,14724,6.2,2.5,96492,19441,124142,6515,17279,1364,41.2,4.3,22089,2565,5.6,1.9,15925,4177,0.4,0.4,N,N,3.8,1.6,35333,9160,0.1,0.1,N,N,45.8,5.5,11658,1795,3.1,1.3,13267,6053,68.2,4.6,13152,1434,21.5,3.1,28173,4444,38.0,(X),(X),(X),34.5,(X),(X),(X),24.8,(X),(X),(X)
