GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
1600000US0659444,0659444,"Rancho Cordova city, California",24395,1252,75596,6964,82.9,3.3,74011,8217,17.6,2.9,7574,2505,24.8,3.3,17779,1357,6.6,1.8,11482,1644,6.5,2.3,3112,695,19.8,3.2,29575,4310,16900,886,83648,9715,12.5,3.6,51494,12598,37.5,5.3,70198,18826,25.9,4.1,95644,9592,11.3,3.3,79470,14628,9.9,3.3,142404,36050,2.9,2.1,105299,53712,69727,51,27590,2840,64.0,3.9,29722,3259,7.8,2.2,24916,5768,0.3,0.3,N,N,11.6,2.5,34549,9725,0.7,0.6,N,N,9.2,3.2,15279,5668,6.4,1.9,16360,4410,21.3,4.6,16076,2959,53.1,4.2,32166,3847,28.0,(X),(X),(X),30.4,(X),(X),(X),22.3,(X),(X),(X)
1600000US0659451,0659451,"Rancho Cucamonga city, California",58305,2607,90808,5041,82.3,3.2,95950,5508,15.5,2.1,12764,3478,21.6,2.7,17221,1371,2.7,1.1,9444,1706,2.0,0.9,3557,1309,16.5,2.5,25970,4527,40675,1680,104105,6651,9.3,2.3,45383,11441,29.7,4.0,72492,8506,31.6,4.2,134990,14247,12.6,2.8,86411,12459,14.0,3.2,148077,20676,2.8,1.4,144007,49737,174302,38,31365,1957,62.0,3.8,33052,2187,8.3,2.4,30228,6341,1.7,1.6,N,N,12.9,2.5,28923,6289,0.0,0.1,N,N,10.9,2.2,29327,7048,4.1,1.1,20435,5901,35.0,3.8,28095,3198,40.5,3.6,35866,2752,28.8,(X),(X),(X),32.1,(X),(X),(X),22.7,(X),(X),(X)
1600000US0659920,0659920,"Redding city, California",33424,1368,62091,4225,69.1,3.7,64436,5465,18.3,2.4,9781,3367,38.0,3.5,17521,1141,7.1,1.9,8067,1553,1.9,0.8,4545,2559,22.7,2.9,30218,3531,20286,1336,75076,4777,19.8,3.9,50848,5852,36.7,5.4,62147,8128,27.8,4.4,97935,11547,7.3,2.4,68150,17566,6.6,2.5,123492,20572,1.9,1.0,102124,27794,91588,33,24442,1549,85.5,2.0,26420,1864,1.6,0.9,10444,10887,0.9,0.5,14203,11004,3.5,1.3,17379,10665,0.0,0.2,N,N,2.4,1.4,13624,5844,6.2,1.7,10211,2816,9.4,1.6,14372,4864,79.6,2.1,27147,2018,25.4,(X),(X),(X),23.5,(X),(X),(X),22.3,(X),(X),(X)
1600000US0659962,0659962,"Redlands city, California",21806,1555,86185,6732,76.8,4.3,92435,7364,18.5,3.2,20218,8249,24.7,4.7,17357,2179,5.1,2.1,7620,1550,4.3,2.1,7241,2460,16.7,3.7,30571,7945,16006,1098,94524,8634,16.9,4.9,N,N,33.4,5.8,N,N,32.4,6.7,N,N,13.6,5.2,N,N,3.4,2.0,N,N,0.4,0.7,N,N,70618,26,27763,2811,72.9,5.2,30483,3333,7.2,2.9,26438,9356,0.8,0.7,12262,5325,8.6,4.3,23597,11973,1.9,2.7,N,N,5.1,2.4,14718,12317,3.5,1.4,16468,10770,27.5,5.3,17505,3509,51.9,5.6,35006,4212,29.3,(X),(X),(X),29.5,(X),(X),(X),23.5,(X),(X),(X)
1600000US0660018,0660018,"Redondo Beach city, California",26069,1556,120545,9326,84.5,3.2,120535,8421,30.8,4.5,28160,11916,21.6,3.7,20108,2041,2.6,1.7,7385,2191,1.6,1.1,3312,1882,14.6,3.0,28057,7174,15925,970,143657,11576,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,68146,29,47957,3586,75.2,3.5,51107,4527,1.7,1.3,51277,25848,0.0,0.2,N,N,11.5,2.9,48824,6141,0.1,0.1,N,N,3.9,2.3,36687,17859,7.6,2.1,19902,9234,23.5,5.4,31847,5902,58.0,5.0,56304,5926,21.3,(X),(X),(X),20.6,(X),(X),(X),18.0,(X),(X),(X)
1600000US0660102,0660102,"Redwood City city, California",29245,1662,116340,8453,84.9,2.8,118518,9506,30.0,3.6,16843,3623,23.9,3.3,20049,1865,2.3,1.3,9362,3875,1.0,0.9,3518,564,13.8,2.9,32216,8061,18886,1007,135085,12448,6.7,2.5,60550,17072,32.9,5.0,106188,18125,39.4,6.0,185509,22573,10.8,3.8,82279,18374,4.7,2.3,192644,44617,5.4,2.8,92242,21285,82868,49,42741,3638,58.2,5.2,52649,4913,2.1,1.0,26970,14888,0.9,1.0,N,N,11.8,2.6,51378,11511,0.5,0.7,N,N,21.8,5.0,19443,5733,4.7,1.8,22487,11083,39.2,5.1,20858,3900,43.6,4.5,62261,5265,26.8,(X),(X),(X),25.4,(X),(X),(X),23.5,(X),(X),(X)
1600000US0660466,0660466,"Rialto city, California",25834,1344,64261,5365,84.5,2.9,63204,6250,8.6,1.9,10817,6313,24.2,3.4,15971,1617,7.5,2.0,9906,1945,9.0,2.6,4733,928,16.7,3.3,18754,4727,20771,905,66914,6159,10.1,2.7,33638,10977,36.0,4.5,41648,4262,18.9,4.0,95188,20114,18.1,4.0,76059,13418,10.5,3.0,104769,15219,6.4,2.6,90232,25091,102740,36,17260,1405,59.1,5.0,16006,1426,12.5,2.7,21139,5529,1.0,0.8,19964,7643,1.9,0.9,23237,9305,0.3,0.5,N,N,20.1,4.0,16439,3160,5.2,2.2,23233,15053,73.5,3.7,14943,1404,9.8,1.9,28773,4091,39.1,(X),(X),(X),38.3,(X),(X),(X),29.2,(X),(X),(X)
1600000US0660620,0660620,"Richmond city, California",39235,1931,68766,4775,81.5,2.9,68797,5816,15.3,3.0,14700,4208,20.8,3.2,18819,2408,7.5,2.0,9745,1283,4.3,1.8,2821,1193,16.0,2.8,26178,4050,23735,1362,75611,7359,9.7,2.6,48538,10686,43.7,4.8,51581,6292,19.8,4.4,116293,20029,10.9,3.4,70041,16171,8.8,2.7,130030,32290,7.0,2.4,88324,19597,108562,40,25790,2094,29.9,4.0,34281,4927,21.6,3.0,27474,3595,0.7,0.6,15831,15592,15.7,3.1,31589,4746,1.3,0.9,17535,15124,24.6,4.6,12143,1521,6.3,2.0,21275,6880,39.5,3.8,14662,2177,15.7,2.2,46986,6488,30.9,(X),(X),(X),31.6,(X),(X),(X),21.3,(X),(X),(X)
1600000US0662000,0662000,"Riverside city, California",90204,2910,71661,2910,83.9,1.9,70413,3160,11.3,1.3,21126,6179,24.0,1.7,16572,913,5.7,1.2,10298,1081,3.9,0.8,4845,911,14.7,1.3,28880,3639,65763,2276,77935,3368,10.1,1.6,42012,7191,34.9,2.5,61967,5978,25.7,2.7,102753,9104,14.1,2.2,68715,7222,9.9,1.4,116871,9435,5.2,1.4,82809,9728,319519,72,21784,987,67.5,2.9,23596,1166,5.6,1.2,22121,4011,1.1,0.7,13074,7690,8.1,1.5,19881,4544,0.4,0.3,8440,4705,12.5,2.0,16301,1730,4.8,0.9,16590,3978,51.4,2.7,15526,809,30.7,2.5,33424,1937,37.8,(X),(X),(X),39.7,(X),(X),(X),29.5,(X),(X),(X)
1600000US0662938,0662938,"Roseville city, California",48152,1593,94805,4446,76.5,2.5,100165,5451,23.8,2.4,14635,4063,30.6,2.8,18890,1462,2.6,0.9,10407,3046,1.0,0.8,N,N,23.3,2.8,30494,4534,31665,1493,112885,6410,13.8,2.6,60311,10385,31.4,4.3,85785,7093,39.0,4.4,148338,12505,8.5,2.3,117333,15643,6.7,1.7,135306,19935,0.6,0.6,122958,28283,128593,74,37263,1896,79.1,2.6,38949,2230,1.4,0.7,28025,11651,0.2,0.2,N,N,10.7,1.7,41750,6540,0.3,0.4,N,N,3.3,1.7,17651,9120,4.9,1.3,16219,6869,13.8,2.0,20581,4271,69.9,2.3,41093,2381,28.4,(X),(X),(X),28.7,(X),(X),(X),21.1,(X),(X),(X)
1600000US0664000,0664000,"Sacramento city, California",177553,3506,70437,5462,76.3,1.3,72186,5931,17.2,1.2,19212,7177,23.8,1.3,16068,733,11.2,1.0,10383,690,5.6,0.9,5070,758,16.7,1.1,32876,2738,104538,2961,82838,8656,15.6,1.5,47502,9988,35.8,2.3,73752,21956,28.9,2.0,108768,6082,10.8,1.7,71321,12472,6.0,1.2,126221,25988,2.9,0.8,80268,9768,485193,76,26656,1941,48.4,1.7,33844,3770,14.3,1.2,19858,1837,0.6,0.3,22512,8315,18.6,1.2,24000,2472,1.8,0.4,19748,4750,9.8,1.3,15187,1692,6.6,0.9,15374,2839,29.6,1.5,16240,1519,31.5,1.3,42658,5611,27.2,(X),(X),(X),29.7,(X),(X),(X),21.9,(X),(X),(X)
1600000US0664224,0664224,"Salinas city, California",39390,1478,66346,3375,86.0,2.4,65026,3583,9.0,1.9,25408,9430,25.7,2.8,14873,1170,6.6,1.5,6296,1043,2.6,1.3,3140,1346,10.5,1.8,23088,4513,31487,1153,67436,3909,7.1,2.1,38613,11448,32.9,3.8,50001,7082,26.7,4.0,88206,8095,14.9,2.6,53668,8943,8.3,2.3,103420,12118,10.2,2.6,80192,9579,156678,37,18381,1055,78.9,3.3,18041,1249,1.2,0.6,38174,13684,0.7,0.4,16629,3076,7.2,1.4,19891,3500,0.0,0.1,N,N,9.3,2.9,17570,4406,2.8,1.2,18824,5859,74.0,2.5,14032,812,16.1,2.2,36184,4557,17.5,(X),(X),(X),17.4,(X),(X),(X),13.4,(X),(X),(X)
